mx_host,asn,asn_name,domain_count
mx.hover.com.cust.hostedemail.com,15348,"TUCOWS, CA",55
mx.yandex.ru,13238 208398,,54
custmx.cscdns.net,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",54
tryninja.io,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",51
domain-us-1.getmx.com,14061,"DIGITALOCEAN-ASN, US",50
mail.tazza.me,47583,"AS-HOSTINGER, CY",50
la4.inquirymailer.com,14061,"DIGITALOCEAN-ASN, US",49
mail.tempmail.id.vn,135905,"VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP, VN",48
mx1.mail.ovh.net,16276,"OVH, FR",47
inbound-smtp.us-west-2.amazonaws.com,16509,"AMAZON-02, US",47
mx00.emig.gmx.net,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",47
eml.monster,14061,"DIGITALOCEAN-ASN, US",46
smtp.trashmail.com,24940,"HETZNER-AS, DE",43
email.gravityengine.cc,31898,"ORACLE-BMC-31898, US",43
mail.hope-mail.com,213230,"HETZNER-CLOUD2-AS, DE",21
mail.hope-mail.com,14061,"DIGITALOCEAN-ASN, US",20
mx.zoho.eu,205111,"ZOHO-EU, NL",40
tja.papierkorb.me,24940,"HETZNER-AS, DE",39
mail.pickelhost.com,24940,"HETZNER-AS, DE",20
mail.pickelhost.com,14061,"DIGITALOCEAN-ASN, US",19
parkmail.dynadot.com,36086,"TELX-LEGACY, US",39
mx.undeadbank.com,24940,"HETZNER-AS, DE",38
mail.mailscr.us,51167,"CONTABO, DE",38
fwd.regery.net,24940,"HETZNER-AS, DE",37
mail2.namebrightmail.com,12025,"IMDC-AS12025, US",37
mailnesia.com,29802,"HVC-AS, US",35
mx01.ionos.com,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",34
mx01.emig.gmx.net,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",34
void.blackhole.mx,24940,"HETZNER-AS, DE",33
mx00.ionos.com,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",33
in.mailsac.com,16509,"AMAZON-02, US",33
mxbiz1.qq.com,9304,"HUTCHISON-AS-AP HGC Global Communications Limited, HK",32
mx1.emailsrvr.com,27357,"RACKSPACE, US",16
mx1.emailsrvr.com,19994,"RACKSPACE, US",15
alltheemails.com,8860,"DELTA-BG-AS, BG",31
fwd1.porkbun.com,16509,"AMAZON-02, US",30
mx1.mailhop.org,16509,"AMAZON-02, US",30
mx01.mail.com,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",30
mx4.mail.ovh.net,16276,"OVH, FR",30
gourmet7.spamgourmet.com,10439,"CARINET, US",29
bccto.cc,36352,"AS-COLOCROSSING, US",29
spool.mail.gandi.net,29169,"GANDI-AS Domain name registrar - www.gandi.net, FR",29
mx4.mb1p.com,24940,"HETZNER-AS, DE",28
mx4.beavis99.net,24940,"HETZNER-AS, DE",28
mx195.m1bp.com,14061,"DIGITALOCEAN-ASN, US",28
mx-aol.mail.gm0.yahoodns.net,26101,"YAHOO-BF1, US",12
mx-aol.mail.gm0.yahoodns.net,36646,"YAHOO-NE1, US",9
mx-aol.mail.gm0.yahoodns.net,36647,"YAHOO-GQ1, US",7
eur.olc.protection.outlook.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",28
mx.jailbreakeverything.com,20473,"AS-VULTR, US",27
mx.tempmail.cn,60404,"LITESERVER, NL",27
mail1.namebrightmail.com,12025,"IMDC-AS12025, US",27
apc.olc.protection.outlook.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",27
mx.pigeonprotocol.com,20473,"AS-VULTR, US",26
nguyendoll.com,135905,"VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP, VN",26
own1-mx.iaprem.fun,7506,"INTERQ GMO Internet Group, Inc., JP",26
pkvw-mx.msg.pkvw.co.charter.net,40294,"CHARTER-40294-DC, US",26
mail.b-io.co,14061,"DIGITALOCEAN-ASN, US",13
mail.b-io.co,24940,"HETZNER-AS, DE",12
mx4.emailowl.com,20473,"AS-VULTR, US",25
mx.noophost.com,135905,"VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP, VN",25
smtpin.rzone.de,6724,"STRATO STRATO AG, DE",25
mx.awesome47.com,24940,"HETZNER-AS, DE",25
domains.33mail.com,14618,"AMAZON-AES, US",15
domains.33mail.com,16509,"AMAZON-02, US",9
mx2.efwd.spaceship.net,22612,"NAMECHEAP-NET, US",24
mx.sendgrid.net,16509,"AMAZON-02, US",15
mx.sendgrid.net,14618,"AMAZON-AES, US",8
mx1.efwd.spaceship.net,22612,"NAMECHEAP-NET, US",23
mx1-us1.ppe-hosted.com,13916,"PROOFPOINT-UT7, US",13
mx1-us1.ppe-hosted.com,22843,"PROOFPOINT-ASN-US-EAST, US",9
mx01.ionos.de,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",22
mx.zoho.in,56201,"ZOHO-IN Zoho Corporation Pvt. Ltd, IN",21
mx00.ionos.co.uk,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",21
mail.vsmailpro.com,14061,"DIGITALOCEAN-ASN, US",21
bulc.club,32244,"LIQUIDWEB, US",21
mta-gw.infomaniak.ch,29222,"INFOMANIAK-AS, CH",21
nam.olc.protection.outlook.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",21
mx.underseagolf.com,24940,"HETZNER-AS, DE",20
r3.domainparking.reg.ru,197695,"AS-REG, RU",20
mail.tempmail-plus.com,42846,"GUZELHOSTING GNET INTERNET TELEKOMUNIKASYON A.S., TR",20
mx.proxiedmail.com,14061,"DIGITALOCEAN-ASN, US",20
mx1.forwardmx.net,212317,"HETZNER-CLOUD3-AS, DE",20
relay.wn-power.com,11014,"CPS, AR",20
mx10.mailspamprotection.com,396982,"GOOGLE-CLOUD-PLATFORM, US",20
mail.24.email,210976,"TWC-EU, KZ",20
mail.aeronyx.cfd,203446,"AS203446, GB",19
mx1.spaceweb.ru,44112,"SWEB-AS, RU",19
mail.tutanota.de,210909,"TUTA, DE",19
isaac.mx.cloudflare.net,13335,"CLOUDFLARENET, US",19
mx02.xnote.us,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",19
mx2.timeweb.ru,9123,"TIMEWEB-AS, RU",19
webhost.dynadot.com,16509,"AMAZON-02, US",19
mail.webmailious.top,24940,"HETZNER-AS, DE",19
aspmx1.migadu.com,16276,"OVH, FR",18
mx00.ionos.de,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",18
ghs.google.com,15169,"GOOGLE, US",18
mxa.eu.mailgun.org,396982,"GOOGLE-CLOUD-PLATFORM, US",18
mx04.posteo.de,8495,"INTERNET_AG Frankfurt-Munich-Stuttgart-Amsterdam-London, DE",18
mail.theloi.io.vn,18403,"FPT-AS-AP FPT Telecom Company, VN",17
mail.unlimitmail.com,135932,"VNDATA-AS-VN Viet Storage Technology Joint Stock Company, VN",17
relay7m.it.nrw.de,43066,"IT-NRW, DE",17
smtp.chinaqoe.com,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",17
mail.easytrashmail.eu,44486,"SYNLINQ synlinq.de, DE",17
mx-in.g.apple.com,714,"APPLE-ENGINEERING, US",17
mx01.posteo.de,8495,"INTERNET_AG Frankfurt-Munich-Stuttgart-Amsterdam-London, DE",17
mail1.mailcore.email,57043,"HOSTKEY-AS, NL",16
hosting.bofhland.org,14061,"DIGITALOCEAN-ASN, US",16
mx4.burnserver.com,14061,"DIGITALOCEAN-ASN, US",16
gourmet.spamgourmet.com,10439,"CARINET, US",16
mx1.spacemail.com,22612,"NAMECHEAP-NET, US",16
mail.mkomail.cyou,16276,"OVH, FR",16
mx2.mailchannels.net,16509,"AMAZON-02, US",15
inbound-smtp.eu-west-1.amazonaws.com,16509,"AMAZON-02, US",15
privateemail.chessgameland.com,24940,"HETZNER-AS, DE",15
mx.temp-mail.io,24940,"HETZNER-AS, DE",15
mx1.altaddress.net,7922,"COMCAST-7922, US",15
mail1.testinator.com,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",15
mx.smtp.dev,24940,"HETZNER-AS, DE",15
mx203.inbound-mx.net,14061,"DIGITALOCEAN-ASN, US",14
mail.ezonemail.com,47583,"AS-HOSTINGER, CY",14
mailgenk.com,22612,"NAMECHEAP-NET, US",14
mail.vortex.skyfall.dev,13335,"CLOUDFLARENET, US",14
mail.paicha.cloud,131965,"XSERVER Xserver Inc., JP",14
mx03.posteo.de,8495,"INTERNET_AG Frankfurt-Munich-Stuttgart-Amsterdam-London, DE",14
box.m1lf.party,197540,"NETCUP-AS netcup GmbH, DE",13
mailserver.purelymail.com,14618,"AMAZON-AES, US",13
mx.expiredtoaster.org,20473,"AS-VULTR, US",13
mx1.hostinger.in,13335,"CLOUDFLARENET, US",13
mail.alternativeid.com,16509,"AMAZON-02, US",13
temp-mail-pro.com,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",13
mailx.gridhost.com,46261,"QUICKPACKET, US",13
plant.blueberrymail.net,213230,"HETZNER-CLOUD2-AS, DE",13
mx1.csof.net,24940,"HETZNER-AS, DE",13
mail.dynainbox.com,24940,"HETZNER-AS, DE",13
smtp.spam4.me,60781,"LEASEWEB-NL-AMS-01 Netherlands, NL",13
mx1.alias.proton.me,62371,"PROTON, CH",12
hzmx01.mxmail.netease.com,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",12
mail.chessgamingworld.com,24940,"HETZNER-AS, DE",12
apollo.mailbox49.com,35916,"MULTA-ASN1, US",12
mx00.ionos.fr,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",12
arrow.mxrouting.net,46261,"QUICKPACKET, US",12
mx1-usg2.ppe-hosted.com,14618,"AMAZON-AES, US",10
mx1-usg2.ppe-hosted.com,16509,"AMAZON-02, US",2
mail.tempmailbox.net,14061,"DIGITALOCEAN-ASN, US",12
mail.nominalia.com,39729,"REGISTER-AS, IT",12
mail.cpsinet.net,396949,"CLOUDWEBMANAGE-TX, US",12
mail.sfxmailbox.com,24940,"HETZNER-AS, DE",12
mx01.ionos.co.uk,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",12
custom.boomlify.com,14061,"DIGITALOCEAN-ASN, US",12
linda.mx.cloudflare.net,13335,"CLOUDFLARENET, US",12
mx.ukraine.com.ua,200000,"UKRAINE-AS, UA",11
mx.checker.in,24940,"HETZNER-AS, DE",11
mx.joyrideday.com,29873,"BIZLAND-SD, US",11
relay0.it.nrw.de,43066,"IT-NRW, DE",11
broker.balansor.com,24940,"HETZNER-AS, DE",11
abusekiste.net,39835,"GOETEL, DE",11
mx3-prod.edatasource.com,14618,"AMAZON-AES, US",7
mx3-prod.edatasource.com,16509,"AMAZON-02, US",4
mx4.freeola.com,3257,"GTT-BACKBONE GTT, US",11
mx01.ionos.es,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",11
plato.junkemailfilter.com,6939,"HURRICANE, US",11
mx.services,200000,"UKRAINE-AS, UA",11
mx1.tempmail.so,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",11
mail-temp.com,30886,"KOMITEX-AS, UA",11
mx1.vfemail.net,202448,"MVPS www.mvps.net, CY",11
mx.tlen.pl,31080,"O2-AS, PL",11
s151.goserver.host,48324,"DE-WEBGO www.webgo.de, DE",11
mail.mail10p.com,135905,"VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP, VN",11
mxext1.mailbox.org,199118,"HPLS-AS, DE",10
mx1.mxfilter.net,46824,"NAMECRANE, US",10
mail.temporarily.de,12574,"ROUTING Franzstr. 51, 52064 Aachen, DE",10
mx1-usg1.ppe-hosted.com,14618,"AMAZON-AES, US",5
mx1-usg1.ppe-hosted.com,16509,"AMAZON-02, US",5
mc2.cloudfido.com,16276,"OVH, FR",10
mx.add5000.com,30886,"KOMITEX-AS, UA",10
amir.mx.cloudflare.net,13335,"CLOUDFLARENET, US",10
mail.vanhoang.vn,18450,"WEBNX, US",7
mail.vanhoang.vn,20278,"NEXEON, US",3
mx.fex.plus,63023,"AS-GLOBALTELEHOST, US",10
mx.freecustom.email,197540,"NETCUP-AS netcup GmbH, DE",10
mx00.udag.de,15598,"IPX-AS15598, DE",10
mx2.freeola.com,25577,"C4L-AS, GB",10
mail.notletters.com,16276,"OVH, FR",10
mail.testinator.email,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",10
eu-smtp-inbound-1.mimecast.com,42427,"MIMECAST-UK, GB",10
mail.furvionx.com,210976,"TWC-EU, KZ",10
mx5-prod.edatasource.com,14618,"AMAZON-AES, US",6
mx5-prod.edatasource.com,16509,"AMAZON-02, US",4
mx00.gmx.net,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",10
mx0.123-reg.co.uk,26496,"AS-26496-GO-DADDY-COM-LLC, US",7
mx0.123-reg.co.uk,398101,"GO-DADDY-COM-LLC, US",3
mx.4mznz.com,16509,"AMAZON-02, US",9
gr.priyomail.net,24940,"HETZNER-AS, DE",9
mx.48hr.email,24961,"MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG, DE",9
li.chinaqoe.com,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",9
mx2.improvmx.com,16509,"AMAZON-02, US",9
sitemail.everyone.net,30447,"INFB2-AS, CA",9
us-smtp-inbound-1.mimecast.com,30031,"MIMECAST-, US",9
mx1.larksuite.com,16509,"AMAZON-02, US",9
dca4.patternemail.com,14061,"DIGITALOCEAN-ASN, US",9
mx2.csof.net,24940,"HETZNER-AS, DE",9
mx01.earthlink-vadesecure.net,16276,"OVH, FR",9
mail.tempmailonline.co,13335,"CLOUDFLARENET, US",8
mxn.mxhichina.com,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",8
mail.catchallmx.com,16276,"OVH, FR",8
mail.andrewcluh.top,203446,"AS203446, GB",8
mail.2fa.vn,24940,"HETZNER-AS, DE",8
mx.trouble-free.net,19318,"IS-AS-1, US",8
mail.brevitron.cfd,203446,"AS203446, GB",8
smtpin.vvv.facebook.com,32934,"FACEBOOK, US",8
rack-host.net,33724,"BIZNESSHOSTING-DBA-VOLICO, US",8
mail.register.it,39729,"REGISTER-AS, IT",8
domain-us-1.cuiqiu.net,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN",8
alt1.aspmx.l.google.com,15169,"GOOGLE, US",8
mx4-prod.edatasource.com,16509,"AMAZON-02, US",5
mx4-prod.edatasource.com,14618,"AMAZON-AES, US",3
mailinator.com,13335,"CLOUDFLARENET, US",8
mail.temporary-mail.net,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",8
mx2.spacemail.com,22612,"NAMECHEAP-NET, US",8
gmr-smtp-in.l.google.com,15169,"GOOGLE, US",8
mail.flipkartoffer.in,203446,"AS203446, GB",8
asahinet-mx-v4.xspmail.jp,2497,"IIJ Internet Initiative Japan Inc., JP",8
mail.trashmail.de,16276,"OVH, FR",8
us2.mx1.mailhostbox.com,46606,"UNIFIEDLAYER-AS-1, US",8
mx.191mariobet.com,24940,"HETZNER-AS, DE",7
mx.post.tf,41608,"NEXTGENWEBS-NL, ES",7
mx5.freeola.com,3257,"GTT-BACKBONE GTT, US",7
mx1.mailchannels.net,16509,"AMAZON-02, US",7
mx1.feishu.cn,16509,"AMAZON-02, US",7
mx-1.dpoczta.pl,48896,"DHOSTING-AS Warsaw, Poland, PL",7
mail.thirdechelon.net,24940,"HETZNER-AS, DE",7
mx01.ionos.fr,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",7
fmg-mail-1.fakemailgenerator.com,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",7
mx.isp-inter.net,14061,"DIGITALOCEAN-ASN, US",7
mail.resolutux.com,203446,"AS203446, GB",7
mx1.ticketsinbound.com,40021,"CONTABO-40021, US",7
mx01.lolipop.jp,7506,"INTERQ GMO Internet Group, Inc., JP",7
mail.jabmag.com,14061,"DIGITALOCEAN-ASN, US",7
mx1.qiye.aliyun.com,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",7
mail.tennleague.com,24940,"HETZNER-AS, DE",7
mx0.mail.ovh.net,16276,"OVH, FR",7
mxia.craigslist.org,22414,"CRAIGS-NET-1, US",7
mx1.netim.net,24935,"ATE-AS, FR",5
mx1.netim.net,35625,"EUROFIBER-FRANCE, FR",2
mx.mail-temporaire.fr,12876,"Online SAS, FR",7
mx1.hostinger.es,13335,"CLOUDFLARENET, US",7
cloudbmail.com,39287,"ABSTRACT, FI",7
mail.nospam.today,212477,"ROYALE-AS, NL",7
mail.usmailz.com,213230,"HETZNER-CLOUD2-AS, DE",7
mx01.gmx.net,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",7
mail.mailmask.cc,212477,"ROYALE-AS, NL",7
mx1.cock.li,9009,"M247, RO",7
mail.mailde.de,24940,"HETZNER-AS, DE",7
mx-eu.mail.am0.yahoodns.net,34010,"YAHOO-IRD, GB",7
mx2.privateemail.com,22612,"NAMECHEAP-NET, US",6
mx1.beget.ru,198610,"BEGET-AS, RU",6
mail.deepmails.org,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",6
mail01.czarymary.pl,16276,"OVH, FR",6
smtp03.topdns.com,43350,"NFORCE, NL",6
mail.writing.com,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",6
mx1.ewebdevelopment.com,14061,"DIGITALOCEAN-ASN, US",6
mailserver.livemail.co.uk,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",6
mail1.sourcefactory.at,24940,"HETZNER-AS, DE",6
mx.ae9.eu,24940,"HETZNER-AS, DE",6
mx1.ovh.net,16276,"OVH, FR",6
mx1.torpig-sinkhole.org,24940,"HETZNER-AS, DE",6
one.mxroute.com,24940,"HETZNER-AS, DE",6
wednesday.mxrouting.net,398810,"MXROUTE, US",6
srv467103.hstgr.cloud,47583,"AS-HOSTINGER, CY",6
mail.net-bizz.com,24940,"HETZNER-AS, DE",6
shadow.mxrouting.net,24940,"HETZNER-AS, DE",6
smtp.byom.de,24940,"HETZNER-AS, DE",6
heracles.mxrouting.net,24940,"HETZNER-AS, DE",6
mx2.netim.net,24935,"ATE-AS, FR",4
mx2.netim.net,35625,"EUROFIBER-FRANCE, FR",2
mail.tempmail.co.uk,24940,"HETZNER-AS, DE",6
prd-smtp.10minutemail.com,16509,"AMAZON-02, US",6
mx.onlygoodsoftware.com,24940,"HETZNER-AS, DE",6
us2.mx3.mailhostbox.com,46606,"UNIFIEDLAYER-AS-1, US",6
mail.tmp.al,197540,"NETCUP-AS netcup GmbH, DE",6
in.mail.gw,24940,"HETZNER-AS, DE",6
mx37.m1bp.com,14061,"DIGITALOCEAN-ASN, US",5
mailpit.newkso.ru,216071,"VDSINA, AE",5
hi.mail.cx,24940,"HETZNER-AS, DE",5
mx.bump.email,16276,"OVH, FR",5
mail.x-networks.net,14061,"DIGITALOCEAN-ASN, US",5
mail.host-my-mail.com,15169 19527,,4
mail.host-my-mail.com,15169,"GOOGLE, US",1
feedback-smtp.us-east-1.amazonses.com,14618,"AMAZON-AES, US",5
mail.anonymmail.net,24940,"HETZNER-AS, DE",5
mx0101.titan.email,16509,"AMAZON-02, US",5
park01.gkg.net,30600,"AS-CMN, US",5
