asn,asn_name,risk_score_domains
21413,"ENVIA-TEL-AS D-09114 Chemnitz, DE",3
3320,"DTAG Internet service provider operations, DE",3
7018,"ATT-INTERNET4, US",3
8739,"ICDSOFT, BG",3
39392,"SUPERNETWORK _, CZ",3
29066,"VELIANET-AS velia.net Internetdienste GmbH, DE",3
399250,"NAMEHERO-KCDC, US",3
133752,"LEASEWEB-APAC-HKG-10 LEASEWEB HONG KONG LIMITED, HK",3
52030,"SERVERPLAN-AS, IT",3
42889,"METAVIRA-AS, RU",3
394695,"PUBLIC-DOMAIN-REGISTRY, US",3
209641,"I-SERVERS-EAST, GB",3
25151,"CYSO-AS, NL",3
46824,"NAMECRANE, US",3
32934,"FACEBOOK, US",3
34762,"COMBELL-AS, BE",3
719,"ELISA-AS ELISA OYJ, FI",3
212025,"CUKMAN-AS, HR",3
35625,"EUROFIBER-FRANCE, FR",3
39570,"LOOPIA, SE",3
204800,"WHG-SGP, GB",3
20454,"SSASN2, US",3
15456,"INTERNETX-AS, DE",3
45146,"RAJASA-AS-ID-AP PT. Raja Sepadan Abadi, ID",3
51013,"WEBSUPPORT-SRO-SK-AS, SK",3
15685,"CASABLANCA-AS Internet & Collocation Provider, CZ",3
48715,"SEFROYEKPARDAZENG-AS Sefroyek Pardaz Engineering Company, IR",3
18779,"EGIHOSTING, US",3
8342,"RTCOMM-AS, RU",3
11320,"LIGHTEDGE-AS-02, US",3
24638,"RAMBLER-TELECOM-AS, RU",3
28748,"ALPHACRON-AS AlphaCron Datensysteme, DE",3
397423,"TIER-NET, US",3
29134,"IGNUM-AS Czech Republic, CZ",3
14555,"LIQUIDNETLTD1, US",3
12392,"ASVOO VOO S.A., BE",3
10297,"ENET-2, US",3
211993,"SOVERIN, NL",2
139203,"CHINANET-GUIZHOU-GUIAN-IDC Guizhou GuiAn IDC, CN",2
9370,"SAKURA-B SAKURA Internet Inc., JP",2
58466,"CT-GUANGZHOU-IDC CHINANET Guangdong province network, CN",2
5606,"GTS-BACKBONE GTS Telecom, RO",2
42730,"EVANZOAS, DE",2
400754,"GO-DADDY-COM-LLC, US",2
30083,"AS-30083-US-VELIA-NET, DE",2
212531,"INTERNETO-VIZIJA, LT",2
50472,"CHAOS-AS, DE",2
204957,"GREENFLOID-AS, US",2
60592,"GRANSY Gransy s.r.o. gransy.com, CZ",2
208258,"ACCESS2IT Access2.IT Network, NL",2
398810,"MXROUTE, US",2
56067,"METRABYTE-TH 453 Ladplacout Jorakhaebua, TH",2
59729,"ITL-BG, US",2
42807,"AEROTEK-AS, TR",2
3188,"ALASTYR, TR",2
12322,"PROXAD, FR",2
15169 19527,,2
20278,"NEXEON, US",2
49126,"AS49126, TR",2
211183,"ADMINVPS, RU",2
36007,"KAMATERA, US",2
30870,"TRANS-IX-AS Trans-iX Autonomous System, NL",2
394456,"EPIK-LLC, US",2
216180,"WHG-AUS, GB",2
30238,"AS-IRONP-VEGA, US",2
210403,"LWS, FR",2
40244,"TURNKEY-INTERNET, US",2
214640,"HOSTUP HOSTUP, SE",2
20756,"NAMESHIELD, FR",2
577,"BACOM, CA",2
210250,"WPX, BG",2
31042,"SERBIA-BROADBAND-AS Serbia BroadBand-Srpske Kablovske mreze d.o.o., RS",2
44476,"ZETTA-AS, BG",2
207333,"HOSTER-AST Hoster.KZ - Astana, KZ",2
202422,"GHOST, LU",2
197019,"WEDOS, CZ",2
36666,"GTCOMM, CA",2
8648,"ONE-NETWORK, DE",2
200313,"INTERNET-IT, VG",2
32613,"IWEB-AS, CA",2
212238,"CDNEXT, GB",2
30633,"LEASEWEB-USA-WDC, US",2
16633,"I-3, US",2
203053,"CLAUSWEB, RO",2
20853,"ETOP-AS, PL",2
136557,"HOST-AS-AP Host Universal Pty Ltd, AU",2
131775,"IDNIC-JALANET-AS-ID PT. Jupiter Jala Arta, ID",2
45899,"VNPT-AS-VN VNPT Corp, VN",2
395839,"HOSTKEY-USA, US",2
211381,"PODAON, LV",2
401696,"COGNETCLOUD, US",2
40676,"AS40676, US",2
5617,"TPNET, PL",2
3356,"LEVEL3, US",2
31103,"KEYWEB-AS, DE",2
39704,"CJ2-AS, NL",2
211522,"HYPERCORELTD, GB",2
8758,"IWAY, CH",2
26042,"FIBERSTATE, US",2
209,"CENTURYLINK-US-LEGACY-QWEST, US",2
208425,"YONCU, CY",2
12578,"APOLLO-AS Latvia, LV",2
36236,"NETACTUATE, US",2
30600,"AS-CMN, US",2
211001,"TTR-GROUP, HK",2
214996,"NETCUP, DE",2
200719,"MISSDOMAIN, SE",2
35667,"XSALTO35667, FR",2
60404,"LITESERVER, NL",2
205787,"PUBLICLOUD, BG",2
5483,"MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt., HU",2
21003,"GPTC-AS, LY",2
9457,"DREAMX-AS DREAMLINE CO., KR",2
203476,"GANDI-AS-2 Domain name registrar - www.gandi.net, FR",2
4812,"CHINANET-SH-AP China Telecom Group, CN",2
18403,"FPT-AS-AP FPT Telecom Company, VN",2
40476,"SCALAHOSTING, US",2
16406,"AS-INTERMEDIA, US",2
11608,"ATG-11608, US",2
4760,"HKTIMS-AP HKT Limited, HK",2
12400,"PARTNER-AS, IL",2
34549,"MEER-AS meerfarbig GmbH & Co. KG, DE",2
17505,"SBMOBILE SoftBank Corp., JP",2
208677,"CLOUDRU-AS, RU",2
8308,"NASK-COMMERCIAL, PL",2
25538,"IN-ULM, DE",2
23576,"NHN-AS-KR NAVER Cloud Corp., KR",2
8362,"245 Boulevard de Tournai, FR",2
3214,"XTOM xTom GmbH, DE",2
197155,"ARTNET, PL",2
42775,"DSRT-NET, GB",2
207668,"ITH-, PL",2
13767,"DATABANK-DFW, US",2
34011,"GD-EMEA-DC-CGN1, DE",2
12996,"DOMENESHOP Oslo, Norway, NO",2
9808,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd., CN",2
32181,"ASN-GIGENET, US",2
29028,"COMPUKOS-AS, NL",2
17378,"AS17378, US",2
214902,"PFWEBSOLUTIONS, DK",2
50131,"SPARTANHOST, GB",2
198921,"UNIXSTORM-AS, PL",2
29522,"CF-KRK, PL",2
50613,"THORDC-AS, IS",2
29550,"SIMPLYTRANSIT, GB",2
1680,"NV-ASN CELLCOM ltd., IL",2
63473,"HOSTHATCH, US",2
21499,"GODADDY-SXB, DE",2
60713,"TARRCI-AS, PL",2
12479,"UNI2-AS, ES",2
3215,"France Telecom - Orange, FR",2
6848,"TELENET-AS, BE",2
55286,"SERVER-MANIA, CA",2
3786,"LGDACOM LG DACOM Corporation, KR",2
34360,"OGICOM, PL",2
15817,"MITTWALD-AS Mittwald CM Service GmbH und Co. KG, DE",2
26347,"DREAMHOST-AS, US",2
46844,"SHARKTECH, US",2
201814,"MEVSPACE, PL",2
34233,"SUPERIOR-AS, NL",2
14361,"HOPONE-GLOBAL, US",2
200000,"UKRAINE-AS, UA",2
46505,"NIXIHOST, US",2
59210,"PHOENIXNAP-AS-SG1 PhoenixNAP, SG",2
199695,"ANYM-NET, ID",2
12695,"DINET-AS, RU",2
50304,"BLIX, NO",2
7859,"PAIR-NETWORKS, US",2
211642,"ADMINVPS, RU",2
36884,"MAROCCONNECT, MA",2
13649,"ASN-FLEXENTIAL, US",1
5539,"SPACENET SpaceNET AG, DE",1
34989,"SERVETHEWORLD-AS, NO",1
33028,"AS33028, CA",1
8220,"COLT COLT Technology Services Group Limited, GB",1
12574,"ROUTING Franzstr. 51, 52064 Aachen, DE",1
215117,"HOSTERDADDY, IN",1
11404,"AS-WAVE-1, US",1
131921,"GMOCL GMO GlobalSign Holdings K.K., JP",1
211126,"WHG-MEX, GB",1
56740,"DATAHATA-AS, BY",1
47066,"PRGMR, US",1
12033,"ASN-AT-12033, US",1
25563,"WEBLAND-AS CH-4142 Muenchenstein, CH",1
8496,"RU-OPTIBIT, RU",1
24611,"DCLUX-AS Datacenter Luxembourg, LU",1
39337,"CORPSOFT24, RU",1
209242,"CLOUDFLARESPECTRUM Cloudflare, Inc., US",1
3352,"TELEFONICA_DE_ESPANA, ES",1
5089,"NTL, GB",1
328037,"Elitehost, ZA",1
197712,"CDMON sistemes@cdmon.com, ES",1
201446,"PROFESIONALHOSTING, ES",1
20001,"TWC-20001-PACWEST, US",1
205275,"ROMARG, RO",1
13037,"ZEN-AS Zen Internet - UK, GB",1
146943,"TIER4CLOU-AS Tier 4 Cloud Services, IN",1
24589,"TELENETSIA-AS Telenet AUT-NUM peering specification object, LV",1
60294,"DE-DGW Deutsche Glasfaser Wholesale Internet, DE",1
56577,"ASRELINK, RU",1
12616,"HOSTING-MSK, RU",1
207728,"EUROHOSTER Hosting Provider EuroHoster Ltd., BG",1
397563,"ADEOXTECH, US",1
18450,"WEBNX, US",1
4685,"ASAHI-NET Asahi Net, JP",1
40100,"ALURIUM, US",1
395412,"VS-MEDIA-IPV4, US",1
63760,"AZDIGI-AS-VN AZDIGI Corporation, VN",1
43927,"HOSTERION, RO",1
30860,"YURTEH-AS, UA",1
135450,"IDNIC-BSTI-AS-ID PT Berkah Solusi Teknologi Informasi, ID",1
59580,"BATTERFLYAIMEDIA-AS, RU",1
1299,"TWELVE99 Arelion, fka Telia Carrier, SE",1
200487,"OOOVPS-AS, RU",1
63018,"DEDICATED, US",1
212552,"BITCOMMAND, AM",1
39588,"MIMECAST-DE, GB",1
6315,"XMISSION, US",1
18501,"JOESD-18501, US",1
31549,"RASANA, IR",1
53302,"BALTIMORECOUNTYGOVERNMENT, US",1
208483,"WERIDATA-LLC, US",1
47071,"CHR-SOLUTIONS, US",1
1312,"VA-TECH-AS, US",1
26277,"SERVERPOINT, US",1
39468,"BIGMIR-INTERNET-AS, UA",1
1221,"ASN-TELSTRA Telstra Limited, AU",1
25504,"CRONON-AS Obermuensterstr. 9, DE",1
8660,"MATRIX-AS, IT",1
28753,"LEASEWEB-DE-FRA-10, DE",1
50132,"WRG-AS, GB",1
12417,"DHH-AS, HR",1
204997,"FIRSTBYTE-AS, GB",1
25875,"VARIO, US",1
48716,"PSKZ-ALA, KZ",1
40279,"FORESTRACKS, US",1
44444,"FORCEPOINT-CLOUD-AS, GB",1
7979,"SERVERS-COM, US",1
60357,"MEGAGROUP-AS, RU",1
212216,"NETAFRAZ, IR",1
56630,"MELBICOM-EU-AS Melbikomas UAB, LT",1
33695,"SCALEMATRIX, US",1
59939,"WIBO-AS, LT",1
17054,"EXPEDIENT, US",1
7552,"VIETEL-AS-AP Viettel Group, VN",1
33083,"AXCELX-NET, US",1
395111,"KVCNET-2009, US",1
7625,"DAUM-AS Kakao Corp, KR",1
14536,"ASN-SOL, US",1
135918,"DVS-AS-VN VIET DIGITAL TECHNOLOGY LIABILITY COMPANY, VN",1
63989,"DE-CORP DE-CORP, TH",1
27823,"Dattatec.com, AR",1
47447,"TTM, DE",1
58593,"BLUECLOUD Shanghai Blue Cloud Technology Co.,Ltd, CN",1
14116,"INFB-AS, CA",1
22773,"ASN-CXA-ALL-CCI-22773-RDC, US",1
48596,"INWX, DE",1
209630,"KREDIT-AS, UA",1
12637,"SEEWEB Web hosting, colocation and cloud services, IT",1
42093,"INTERRACKS-AS, NL",1
205876,"HOASTED, NL",1
64236,"UNREAL-SERVERS, US",1
4808 23724,,1
6372,"DCANET, US",1
16582,"NEXTLEVELINTERNET, US",1
44043,"CYBER_FOLKS-RO-DC_CLJ, RO",1
38099,"KAKAO-AS-KR Kakao Corp, KR",1
200962,"CITICOM , KZ",1
14144,"ADMIN-ON-DEMAND-LLC, US",1
15490,"SHANEMCC, GB",1
34240,"MANITU, DE",1
148993,"DIANAHOSTLTD-AS-AP Diana Host Ltd, BD",1
6621,"HNS-DIRECPC, US",1
14102,"GTVR, CA",1
55470,"CYFUTURE-AS-IN Cyfuture India Pvt. Ltd., IN",1
205542,"DATAHAUS, DE",1
9308 9802,,1
198813,"SYCHROVNET, CZ",1
16086,"DNA, FI",1
21430,"WIA-AS, CZ",1
44051,"FORNEX-AS, ES",1
3242,"ASN-ITNET, IT",1
20804,"ASN-TELENERGO ul. PERKUNA 47, WARSZAWA, PL",1
57910,"SCIP-AS Soluciones Corporativas IP SCIP, ES",1
48894,"OPTIMUS-AS, SI",1
15691,"LEONET-AS-, IT",1
51621,"INFOSELF, ES",1
398146,"EMYPEOPLE, US",1
210772,"NEWPUSH, HU",1
328364,"Host-Africa-AS, ZA",1
32977,"CBSITE-CHI-WEB, US",1
149089,"CLOUDFLY-VN CLOUDFLY CORPORATION, VN",1
32097,"WII, US",1
47223,"LUKMAN, PL",1
209605,"HOSTBALTIC, LT",1
132420,"E2E-NETWORKS-IN 282, Sector 19, IN",1
8069,"MICROSOFT-CORP-MSN-AS-BLOCK, US",1
211577,"WIRENETLIMITED, GB",1
135161,"GMO-Z-COM-TH GMO-Z com NetDesign Holdings Co., Ltd., JP",1
19377,"CLOUD-CARIB-LTD, BS",1
38195,"SUPERLOOP-AS-AP Superloop, AU",1
60071,"RENDSZERNET-AS, HU",1
216063,"TWENTYFOURFIRE, DE",1
135983,"TINO-AS-VN Tino Group Joint Stock Company, VN",1
57230,"ARIAWEBCO-AS, IR",1
209847,"THE, NL",1
7303,"Telecom Argentina S.A., AR",1
49581,"FERDINANDZINK, DE",1
53356,"FREE RANGE CLOUD, CA",1
262954,"VirtuaServer Informatica Ltda, BR",1
135133,"PDPL-AS-AP PI DATA CENTERS PRIVATE LIMITED, IN",1
50241,"UNITTEL-AS, RU",1
133296,"WEBWERKS-AS-IN Web Werks India Pvt. Ltd., IN",1
55803,"HOSTOPIA-AU Hostopia Australia Web Pty Ltd, AU",1
11878,"TZULO, US",1
10753,"LUMEN-LEGACY-L3-CUSTOMER-SHARED-USE, US",1
25472,"WIND-AS, GR",1
13446,"AS-NETZERO, US",1
48282,"VDSINA-AS, RU",1
47217,"PLANETEL-SPA, IT",1
10367,"FIBERCAST, US",1
45538,"ODSJSC-AS-VN ODS Joint Stock Company, VN",1
31252,"STARNET-AS, MD",1
3255,"UARNET-AS UARNet-Eksintech, UA",1
140443,"IDNIC-HERZA-AS-ID PT Herza Digital Indonesia, ID",1
1856,"DISN-PILOTNET2, US",1
23720,"RMNI-AS-AP Rakuten Mobile Network, Inc., JP",1
13213,"UK2NET-AS, GB",1
48115,"DGM-AS Sofia, Bulgaria, BG",1
13706,"COMPLETEWEBNET, US",1
211851,"WEB9-YAZILIM-BILISIM-HIZMETLERI, TR",1
24679,"SSERV-AS, DE",1
7643,"VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN",1
55615,"DUZONBIZON-AS-KR DOUZONEBIZON, KR",1
12735,"ASTURKNET, TR",1
132056,"SCICUBE-AS RM B, 2F 88 KWAI CHEONG ROAD, HK",1
25657,"BASECAMP, US",1
4771,"SPARKNZ Spark New Zealand Trading Ltd., NZ",1
3462,"HINET Data Communication Business Group, TW",1
58003,"PLANEETTA-AS, FI",1
24085,"QTSC-AS-VN Quang Trung Software City Development Company, VN",1
58791,"GMOOSK-NET GMO Internet Group, Inc., JP",1
328442,"UNITED-SA, CD",1
394437,"PSLIGHTWAVE, US",1
24768,"ALMOUROLTEC, PT",1
134835,"SNL-HK Starry Network Limited, HK",1
60117,"HS, AE",1
61154,"INTEGRADESIGN, PL",1
12167,"LIGHTWAVE-DALLAS, US",1
29239,"I-NETPARTNER-AS, DE",1
24282,"KIR KAGOYA JAPAN Inc., JP",1
35041,"NET-BINERO-STHLM1, SE",1
36493,"295CA-TOR-ASN, CA",1
50673,"SERVERIUS-AS, NL",1
34689,"HOSTEROID, RO",1
206264,"AMARUTU-TECHNOLOGY, SC",1
4739,"INTERNODE-AS Internode Pty Ltd, AU",1
38532,"EXABYTES-AS-AP Exabytes Network Singapore Pte. Ltd., SG",1
4811,"CHINANET-SHANGHAI-MAN China Telecom Group, CN",1
393960,"HOST4GEEKS-LLC, US",1
48314,"IP-PROJECTS, DE",1
135360,"ARGONDATANETWORK-AS-AP Argon Data Network, ID",1
61493,"InterBS S.R.L. BAEHOST, AR",1
34324,"NETLINK-AS ul. Korabnicka 9, 32-050 Skawina, Poland, PL",1
7385,"ABUL-14-7385, US",1
701,"UUNET, US",1
8492,"OBIT-AS OBIT Ltd., RU",1
210579,"RACKHOST-AS, HU",1
1897,"EUNET, PT",1
210767,"LINKHOST, GB",1
214036,"ULTAHOST-AS, US",1
39122,"BLACKNIGHT-AS, IE",1
30900,"WEBWORLD-AS ta Web World Ireland, IE",1
216244,"DATATR Data TR Bilisim Teknoloji Hizmetleri, TR",1
41075,"ATW-AS, HU",1
138115,"IDNIC-DENEVA-AS-ID PT Deneva, ID",1
136170,"EXBCOID-AS-AP PT. EXABYTES NETWORK INDONESIA, ID",1
5410,"BOUYGTEL-ISP, FR",1
10242,"USINTERNET, US",1
1101,"IP-EEND-AS IP-EEND BV, NL",1
197922,"TECHCREA-SOLUTIONS, FR",1
44923,"AIRNET, RU",1
208273,"SECUNET, SC",1
23655,"TWODEGREES-NZ-AS 2degrees Networks Limited, NZ",1
150846,"AXYS-VN Room 1508, 15th Floor, Vincom Center Building, 72 Le Thanh Ton, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam, VN",1
18447,"AFFINITY-INTER, US",1
62904,"AS62904, US",1
207279,"MARKAHOST-TELEKOMUNIKASYON-LIMITED-SIRKETI MARKAHOST, TR",1
12312,"ECOTEL, DE",1
147124,"IDNIC-HOSTINGAN-AS-ID PT Hostingan Awan Indonesia, ID",1
136907,"HWCLOUDS-AS-AP HUAWEI CLOUDS, HK",1
38482,"BIZNET2-AS-ID Biznet ISP, ID",1
56654,"AS56654, RO",1
60131,"HIGH5-, NL",1
9891,"CSLOX-IDC-AS-AP CS LOXINFO Public Company Limited., TH",1
11696,"NBS11696, US",1
50941,"VARGONEN, TR",1
199724,"TEKNODC, TR",1
4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",1
29205,"VERCOM, PL",1
