IP,ASN,Name,BGP_Prefix,Country,Registry
23.129.64.146,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
5.104.86.6,AS141995,"CAPL-AS-AP Contabo Asia Private Limited, SG",5.104.84.0/22,DE,
2a07:0e03:002a:0000:0000:0000:0000:bcde,,,,,
2a03:4000:0015:0928:dead:beef:ca1f:1337,,,,,
185.246.188.149,AS200651,"FLOKINET, IS",185.246.188.0/24,IS,
194.53.137.42,AS9009,"M247, RO",194.53.137.0/24,RO,
109.70.100.4,AS208323,"APPLIEDPRIVACY-AS, AT",109.70.100.0/24,AT,
185.220.101.7,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
38.77.174.203,AS54936,WGL-107-ZONA-WYYERD - Wyyerd Group,38.77.174.0/23,US,
23.191.200.9,AS401401,UNREDACTED-NOISENET - Unredacted Inc,23.191.200.0/24,US,
94.16.115.121,AS197540,"NETCUP-AS netcup GmbH, DE",94.16.112.0/22,AT,
185.220.101.28,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
185.246.190.136,AS200651,"FLOKINET, IS",185.246.190.0/24,IS,
171.25.193.132,AS198093,"DFRI-AS Foreningen for digitala fri- och rattigheter, SE",171.25.193.0/24,SE,
2620:018c:0000:0192:0000:0000:00e0:0187,,,,,
43.157.71.110,AS132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN",43.157.64.0/18,SG,
185.220.101.166,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
179.43.128.16,AS51852,"PLI-AS, PA",179.43.128.0/24,PA,
47.254.173.155,AS45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",47.254.160.0/19,US,
93.99.104.128,AS16019,"VODAFONE-CZ-AS, CZ",93.99.0.0/17,CZ,
178.20.55.182,AS29075,"IELO IELO Main Network, FR",178.20.48.0/21,FR,
185.220.101.152,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2001:067c:0e60:0c0c:0192:0042:0116:0214,,,,,
185.236.20.142,AS215540,"GCS-AS, GB",185.236.20.0/24,RU,
45.137.201.100,AS211507,"LAIN we love lain, cats and the world wide web, DE",45.137.201.0/24,DE,
162.19.7.11,AS16276,"OVH, FR",162.19.0.0/17,FR,
2001:067c:0e60:0c0c:0192:0042:0116:0180,,,,,
192.42.116.26,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
23.191.200.16,AS401401,UNREDACTED-NOISENET - Unredacted Inc,23.191.200.0/24,US,
2a12:a800:0002:0001:0045:0138:0016:0107,,,,,
185.129.61.129,AS210731,"DOTSRC, DK",185.129.61.0/24,DK,
190.211.254.185,AS51852,"PLI-AS, PA",190.211.252.0/22,PA,
107.189.31.52,AS53667,"PONYNET - FranTech Solutions, US",107.189.30.0/23,US,
193.36.132.21,AS206075,HOLLANDER-JACOBSEN - Hollander & Jacobsen UG (haftungsbeschraenkt),193.36.132.0/24,DE,
2001:067c:0e60:0c0c:0192:0042:0116:0195,,,,,
2602:f6f6:0002:d31a:0000:0000:0000:0001,,,,,
74.208.192.81,AS8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",74.208.0.0/16,US,
204.8.156.142,AS10961,"BGP-AS - Boston GigaPoP, US",204.8.152.0/21,US,
2a03:e600:0100:0000:0000:0000:0000:0012,,,,,
109.70.100.8,AS208323,"APPLIEDPRIVACY-AS, AT",109.70.100.0/24,AT,
45.58.190.74,AS46844,"SHARKTECH - Sharktech, US",45.58.190.0/24,US,
2600:3c00:0000:0000:f03c:91ff:fe73:f9ba,,,,,
2602:fc24:0010:bb36:0000:0000:0000:0001,,,,,
2a0e:97c0:03e3:0460:1337:b40b:1337:0011,,,,,
152.53.210.165,AS214996,"NETCUP, DE",152.53.208.0/22,AT,
176.65.149.96,AS51396,"PFCLOUD Pfcloud UG, DE",176.65.149.0/24,DE,
192.76.160.147,AS60404,"LITESERVER, NL",192.76.160.0/24,NL,
23.191.200.7,AS401401,UNREDACTED-NOISENET - Unredacted Inc,23.191.200.0/24,US,
185.220.100.245,AS205100,"F3NETZE, DE",185.220.100.0/24,DE,
2a04:52c0:7000:0002:0000:0000:0000:0142,,,,,
185.220.100.248,AS205100,"F3NETZE, DE",185.220.100.0/24,DE,
185.220.101.37,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
23.129.64.211,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
23.191.200.26,AS401401,UNREDACTED-NOISENET - Unredacted Inc,23.191.200.0/24,US,
185.220.101.34,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2620:018c:0000:0192:0000:0000:00e0:0165,,,,,
192.42.116.28,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
2620:018c:0000:0192:0000:0000:00e0:0143,,,,,
62.133.60.208,AS215540,"GCS-AS, GB",62.133.60.0/24,RU,
128.31.0.13,AS3,"MIT-GATEWAYS - Massachusetts Institute of Technology, US",128.30.0.0/15,US,
192.42.116.215,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
107.189.13.254,AS53667,"PONYNET - FranTech Solutions, US",107.189.13.0/24,US,
185.220.101.15,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2620:018c:0000:0192:0000:0000:00e0:0159,,,,,
194.15.112.133,AS213354,"INTERNATIONAL-HOSTING-SOLUTIONS-AS EU DC route, GB",194.15.112.0/24,GB,
80.67.167.81,AS2027,"MILKYWAN MilkyWan, FR",80.67.167.0/24,FR,
185.220.101.178,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
93.95.231.14,AS44925,"THE-1984-AS, IS",93.95.224.0/21,IS,
2a09:61c0:0000:0000:0000:0000:0000:0025,,,,,
217.12.221.131,AS15626,"GF-UA, US",217.12.221.0/24,US,
185.220.101.35,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
5.255.99.124,AS60404,"LITESERVER, NL",5.255.96.0/19,NL,
2a0d:bbc7:0000:0000:f816:3eff:fef2:6521,,,,,
204.8.96.120,AS62744,"QUINTEX - Quintex Alliance Consulting, US",204.8.96.0/22,US,
89.34.230.17,AS207847,CLOUDBLAST - CloudBlast LLC,89.34.230.0/24,RO,
23.129.64.198,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2605:6400:0020:06a2:e777:b638:a0ce:e2ac,,,,,
2a00:1b88:0004:0000:0000:0000:0000:0002,,,,,
185.220.100.243,AS205100,"F3NETZE, DE",185.220.100.0/24,DE,
102.130.117.167,AS328364,"Host-Africa-AS, ZA",102.130.117.0/24,ZA,
185.220.101.40,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2a0f:85c1:0356:5c50:0000:0000:0000:0001,,,,,
185.220.101.100,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
72.235.129.116,AS36149,"HAWAIIAN-TELCOM - Hawaiian Telcom Services Company, Inc., US",72.234.0.0/15,US,
185.220.101.98,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2a04:52c0:0130:896e:0000:0000:0000:0001,,,,,
2a12:a800:0009:0001:0193:0026:0115:0043,,,,,
2a0b:f4c2:0001:0000:0000:0000:0000:0172,,,,,
185.126.114.110,AS3236,SERVER - SERVER.UA LLC,185.126.112.0/22,UA,
154.16.116.61,AS14670,"WHG-USE1, GB",154.16.116.0/24,ZA,
81.17.24.237,AS51852,"PLI-AS, PA",81.17.16.0/20,PA,
192.76.160.148,AS60404,"LITESERVER, NL",192.76.160.0/24,NL,
85.208.139.110,AS215540,"GCS-AS, GB",85.208.139.0/24,BG,
178.17.58.159,AS215540,"GCS-AS, GB",178.17.58.0/24,IQ,
5.255.125.196,AS60404,"LITESERVER, NL",5.255.96.0/19,NL,
2620:018c:0000:0192:0000:0000:00e0:0156,,,,,
82.221.131.71,AS50613,"THORDC-AS, IS",82.221.131.0/24,IS,
2a12:a800:0002:0001:0045:0080:0158:0165,,,,,
192.42.116.179,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
2a0b:f4c2:0001:0000:0000:0000:0000:0161,,,,,
23.129.64.204,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
94.154.172.227,AS209101,IPVENDETTAINC - IP Vendetta Inc.,94.154.172.0/24,BG,
2a0d:bbc7:0000:0000:f816:3eff:fee6:ca14,,,,,
94.142.244.16,AS8283,"COLOCLUE-AS Netwerkvereniging Coloclue, Amsterdam, Netherlands, NL",94.142.240.0/21,NL,
37.187.5.192,AS16276,"OVH, FR",37.187.0.0/16,FR,
147.45.51.193,AS215540,"GCS-AS, GB",147.45.51.0/24,RU,
23.129.64.154,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2a04:52c0:7000:0002:0000:0000:0000:0149,,,,,
2a0b:f4c2:0002:0000:0000:0000:0000:0047,,,,,
2a0b:f4c2:0001:0000:0000:0000:0000:0141,,,,,
2a03:94e0:ffff:0194:0032:0107:0000:0014,,,,,
2a0b:f4c0:016c:0006:0000:0000:0000:0001,,,,,
171.25.193.39,AS198093,"DFRI-AS Foreningen for digitala fri- och rattigheter, SE",171.25.193.0/24,SE,
2a0f:df00:0000:0255:0000:0000:0000:0195,,,,,
162.220.14.78,AS26666,"INTERSERVER-LAX - Interserver, Inc, US",162.220.8.0/21,US,
23.129.64.141,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2c0f:06c0:0000:0011:0000:0000:0b00:b1e5,,,,,
185.220.100.251,AS205100,"F3NETZE, DE",185.220.100.0/24,DE,
2620:018c:0000:0192:0000:0000:00e0:0135,,,,,
172.105.20.12,AS63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",172.105.0.0/19,US,
2a07:6d80:1e01:3a13:0000:0000:0000:0000,,,,,
2400:8901:0000:0000:f03c:95ff:fe89:4a88,,,,,
185.177.238.26,AS215540,"GCS-AS, GB",185.177.238.0/24,RU,
5.2.79.179,AS60404,"LITESERVER, NL",5.2.64.0/20,NL,
45.66.35.10,AS61125,"SABOTAGE, US",45.66.35.0/24,NL,
2001:067c:089c:0702:01ce:01ce:babe:0002,,,,,
176.224.222.137,AS35819,"MOBILY-AS - Etihad Etisalat, a joint stock company",176.224.192.0/19,SA,
2605:6400:0030:f82f:7de1:3de3:8947:bc6a,,,,,
2a0b:f4c2:0002:0000:0000:0000:0000:0033,,,,,
2a02:c204:2263:5153:0000:0000:0000:0001,,,,,
47.254.15.174,AS45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",47.254.0.0/18,US,
185.220.101.157,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
23.129.64.135,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
107.189.27.145,AS14956,"ROUTERHOSTING - RouterHosting LLC, US",107.189.24.0/22,US,
2620:018c:0000:0192:0000:0000:00e0:0203,,,,,
185.220.101.138,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
193.189.100.202,AS41281,"KEFF Interplanetary Communications Network, GB",193.189.100.0/24,GB,
45.138.16.230,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",45.138.16.0/24,NL,
216.73.159.75,AS61138,"ZAPPIE-HOST-AS Zappie Host, US",216.73.159.0/24,US,
185.93.89.96,AS213790,"LIMITEDNETWORK-AS, GB",185.93.89.0/24,IR,
2a14:c380:0c70:00a6:aaaa:bbbb:cccc:dddd,,,,,
2a04:52c0:7000:0002:0000:0000:0000:0131,,,,,
192.76.160.142,AS60404,"LITESERVER, NL",192.76.160.0/24,NL,
195.133.88.211,AS215540,"GCS-AS, GB",195.133.88.0/24,CZ,
2602:fb54:1400:0000:0000:0000:0000:001d,,,,,
23.191.200.13,AS401401,UNREDACTED-NOISENET - Unredacted Inc,23.191.200.0/24,US,
185.220.101.55,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
23.129.64.165,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2602:f915:0007:5a6c:0000:0000:0000:0001,,,,,
23.129.64.136,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
198.96.155.3,AS12093,"UWATERLOO - University of Waterloo, CA",198.96.155.0/24,CA,
185.246.189.99,AS200651,"FLOKINET, IS",185.246.189.0/24,IS,
2a0b:f4c0:016c:0003:0000:0000:0000:0001,,,,,
2605:6400:0020:0474:0000:0000:0000:0000,,,,,
2605:6400:0030:f1fa:f57f:d285:3ed9:ee27,,,,,
193.26.115.140,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",193.26.115.0/24,NL,
185.220.101.8,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
185.220.101.168,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2a05:b0c7:6cc4:0000:0000:0000:0000:0001,,,,,
2a03:4000:0021:08a8:dead:beef:ca1f:1337,,,,,
23.129.64.155,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
176.97.114.202,AS6698,"VIRTUALSYSTEMS, UA",176.97.114.0/24,UA,
2a0b:7cc0:0001:35e4:c905:069e:8f8f:635a,,,,,
23.129.64.183,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
23.134.90.61,AS924,CLOUDIE - Cloudie Networks LLC,23.134.90.0/24,US,
2605:6400:0020:03ea:c2a3:1162:7224:e5df,,,,,
2a12:a800:0002:0001:0185:0241:0208:0081,,,,,
23.129.64.202,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
185.39.207.83,AS215540,"GCS-AS, GB",185.39.207.0/24,RU,
198.251.88.18,AS53667,"PONYNET - FranTech Solutions, US",198.251.88.0/24,US,
46.38.236.103,AS197540,"NETCUP-AS netcup GmbH, DE",46.38.232.0/21,DE,
212.73.134.204,AS34224,"NETERRA-AS, BG",212.73.134.0/24,BG,
2a0b:f4c2:0001:0000:0000:0000:0000:0170,,,,,
185.220.101.19,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
5.255.98.23,AS60404,"LITESERVER, NL",5.255.96.0/19,NL,
179.43.134.22,AS51852,"PLI-AS, PA",179.43.134.0/24,PA,
2a0b:f4c0:016c:0002:0000:0000:0000:0001,,,,,
181.95.73.107,AS7303,"Telecom Argentina S.A., AR",181.94.0.0/15,AR,
2602:f6f6:0002:cf34:0000:0000:0000:0001,,,,,
45.129.0.166,AS62005,"BV-EU-AS, EE",45.129.0.0/24,EE,
185.42.170.203,AS62248,"MODIRUM, EE",185.42.170.0/24,EE,
188.239.191.25,AS206075,HOLLANDER-JACOBSEN - Hollander & Jacobsen UG (haftungsbeschraenkt),188.239.191.0/24,DE,
178.218.144.99,AS212508,"LOWHOSTING-AS, IT",178.218.144.0/24,US,
2a0b:f4c2:0002:0000:0000:0000:0000:0039,,,,,
51.38.225.46,AS16276,"OVH, FR",51.38.0.0/16,FR,
188.68.41.191,AS197540,"NETCUP-AS netcup GmbH, DE",188.68.40.0/22,DE,
185.220.101.36,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
45.84.107.172,AS214503,"R0CKET-CLOUD, SE",45.84.107.0/24,SE,
104.244.75.140,AS53667,"PONYNET - FranTech Solutions, US",104.244.75.0/24,US,
171.25.193.78,AS198093,"DFRI-AS Foreningen for digitala fri- och rattigheter, SE",171.25.193.0/24,SE,
2402:1f00:8000:0239:0000:0000:0000:0000,,,,,
2001:41d0:0700:10a2:0000:0000:0000:0000,,,,,
2a00:1dc0:caff:0073:0000:0000:0000:a568,,,,,
185.246.188.73,AS200651,"FLOKINET, IS",185.246.188.0/24,IS,
23.129.64.205,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
185.243.218.233,AS56655,"GIGAHOST, NO",185.243.218.0/24,NO,
82.153.138.57,AS214209,"INTERNET-MAGNATE, ZA",82.153.138.0/24,GB,
185.107.57.64,AS43350,"NFORCE, NL",185.107.56.0/22,NL,
185.220.100.249,AS205100,"F3NETZE, DE",185.220.100.0/24,DE,
45.9.156.193,AS211619,"MAXKO, HR",45.9.156.0/24,BG,
185.191.239.172,AS264617,"GRUPO PANAGLOBAL 15 S.A, PA",185.191.239.0/24,CH,
192.76.160.141,AS60404,"LITESERVER, NL",192.76.160.0/24,NL,
171.25.158.113,AS35100,"PATRIKWEB-CORE, SE",171.25.152.0/21,SE,
2a0b:f4c2:0002:0000:0000:0000:0000:0045,,,,,
198.251.84.237,AS53667,"PONYNET - FranTech Solutions, US",198.251.84.0/24,US,
45.141.215.95,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",45.141.215.0/24,NL,
185.220.100.241,AS205100,"F3NETZE, DE",185.220.100.0/24,DE,
45.66.35.22,AS61125,"SABOTAGE, US",45.66.35.0/24,NL,
2605:6400:0020:0482:3920:1829:1839:1293,,,,,
2605:6400:0030:fa41:69b1:324f:8ed4:8f76,,,,,
91.92.109.43,AS34224,"NETERRA-AS, BG",91.92.109.0/24,BG,
45.141.215.156,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",45.141.215.0/24,NL,
2001:067c:289c:0004:0000:0000:0000:0082,,,,,
2620:018c:0000:0192:0000:0000:00e0:0154,,,,,
64.225.78.62,AS14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",64.225.64.0/20,US,
185.156.72.7,AS215540,"GCS-AS, GB",185.156.72.0/24,RU,
2a0d:bbc7:0000:0000:f816:3eff:fe72:95b6,,,,,
206.81.25.191,AS14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",206.81.16.0/20,US,
5.253.247.27,AS58087,"FLORIANKOLB, DE",5.253.247.0/24,DE,
185.220.101.170,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
130.193.15.79,AS29134,"IGNUM-AS Czech Republic, CZ",130.193.8.0/21,CZ,
23.129.64.212,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2a14:07c0:1305:0010:0000:0000:0000:0000,,,,,
2605:6400:0030:f9dd:ecef:a3db:545c:76ee,,,,,
2a01:7e00:0000:0000:f03c:91ff:fe78:b382,,,,,
2001:067c:0e60:0c0c:0192:0042:0116:0217,,,,,
2a12:a800:0001:0001:0045:0154:0098:0033,,,,,
192.42.116.183,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
91.208.75.153,AS6718,"NAV NAV Communications, RO",91.208.75.0/24,RO,
86.238.234.69,AS3215,"France Telecom - Orange, FR",86.238.128.0/17,FR,
46.232.251.191,AS197540,"NETCUP-AS netcup GmbH, DE",46.232.248.0/22,DE,
2620:018c:0000:0192:0000:0000:00e0:0155,,,,,
23.129.64.159,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2a03:b0c0:0001:00e0:0000:0001:227f:b001,,,,,
185.220.101.45,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2001:067c:089c:0702:01ce:01ce:babe:0005,,,,,
160.187.148.71,AS153003,LACHANSO-VN Digital Shield Technology Company Limited,160.187.148.0/24,VN,
2a09:61c0:0000:0000:0000:0000:0000:0023,,,,,
198.98.51.189,AS53667,"PONYNET - FranTech Solutions, US",198.98.48.0/20,US,
88.80.26.3,AS33837,"PRQ-AS PRQ VPN Network, SE",88.80.16.0/20,SE,
185.220.101.139,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2a0b:f4c2:0004:0000:0000:0000:0000:0101,,,,,
192.42.116.194,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
109.70.100.2,AS208323,"APPLIEDPRIVACY-AS, AT",109.70.100.0/24,AT,
2a0b:f4c2:0001:0000:0000:0000:0000:0164,,,,,
23.129.64.179,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
51.91.18.151,AS16276,"OVH, FR",51.91.0.0/16,FR,
2a03:4000:0048:004d:88c8:8eff:fee8:9d1a,,,,,
2a0b:f4c2:0000:0000:0000:0000:0000:0013,,,,,
2a06:1700:0004:014c:0000:0000:5d9d:bc79,,,,,
192.42.116.201,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
2001:41d0:0700:1148:0000:0000:0000:0001,,,,,
84.19.182.20,AS31103,"KEYWEB-AS, DE",84.19.182.0/24,DE,
2a12:a800:0011:0001:0124:0198:0131:0108,,,,,
193.200.229.243,AS56655,"GIGAHOST, NO",193.200.229.0/24,NO,
45.137.99.182,AS214209,"INTERNET-MAGNATE, ZA",45.137.99.0/24,LT,
5.255.123.158,AS60404,"LITESERVER, NL",5.255.96.0/19,NL,
179.43.159.199,AS51852,"PLI-AS, PA",179.43.159.0/24,PA,
2a0b:f4c2:0001:0000:0000:0000:0000:0146,,,,,
2620:018c:0000:0192:0000:0000:00e0:0153,,,,,
2620:018c:0000:0192:0000:0000:00e0:0170,,,,,
2a0b:f4c0:016c:0013:0000:0000:0000:0001,,,,,
193.189.100.205,AS41281,"KEFF Interplanetary Communications Network, GB",193.189.100.0/24,GB,
109.237.27.11,AS63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",109.237.24.0/22,US,
